show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,random_column,added_year,added_month,duration_clean
s1,Movie,Dick Johnson Is Dead,Kirsten Johnson,United States,2021-09-25,2020,PG-13,90 min,Documentaries,46,2021.0,9.0,90
s3,TV Show,Ganglands,Julien Leclercq,France,2021-09-24,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",8,2021.0,9.0,1
s6,TV Show,Midnight Mass,Mike Flanagan,United States,2021-09-24,2021,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries",35,2021.0,9.0,1
s14,Movie,Confessions of an Invisible Girl,Bruno Garotti,Brazil,2021-09-22,2021,TV-PG,91 min,"Children & Family Movies, Comedies",99,2021.0,9.0,91
s8,Movie,Sankofa,Haile Gerima,United States,2021-09-24,1993,TV-MA,125 min,"Dramas, Independent Movies, International Movies",41,2021.0,9.0,125
s9,TV Show,The Great British Baking Show,Andy Devonshire,United Kingdom,2021-09-24,2021,TV-14,9 Seasons,"British TV Shows, Reality TV",94,2021.0,9.0,9
s10,Movie,The Starling,Theodore Melfi,United States,2021-09-24,2021,PG-13,104 min,"Comedies, Dramas",43,2021.0,9.0,104
s939,Movie,Motu Patlu in the Game of Zones,Suhas Kadav,India,2021-05-01,2019,TV-Y7,87 min,"Children & Family Movies, Comedies, Music & Musicals",21,2021.0,5.0,87
s13,Movie,Je Suis Karl,Unknown,Unknown,2021-09-23,2021,TV-MA,127 min,"Dramas, International Movies",72,2021.0,9.0,127
s940,Movie,Motu Patlu in Wonderland,Suhas Kadav,India,2021-05-01,2013,TV-Y7,76 min,"Children & Family Movies, Music & Musicals",85,2021.0,5.0,76
s941,Movie,Motu Patlu: Deep Sea Adventure,Suhas Kadav,India,2021-05-01,2014,TV-Y7,76 min,"Children & Family Movies, Comedies",11,2021.0,5.0,76
s942,Movie,Motu Patlu: Mission Moon,Suhas Kadav,India,2021-05-01,2013,TV-Y7,71 min,"Children & Family Movies, Comedies",12,2021.0,5.0,71
s852,TV Show,99 Songs (Tamil),Unknown,Pakistan,,2021,TV-14,131 min,"Dramas, International Movies, Music & Musicals",18,,,131
s471,Movie,Bridgerton - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,2021-07-13,2021,TV-14,39 min,Movies,80,2021.0,7.0,39
s730,TV Show,Bling Empire - The Afterparty,Unknown,Unknown,,2021,TV-MA,36 min,Movies,90,,,36
s731,Movie,Cobra Kai - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,2021-06-12,2021,TV-MA,34 min,Movies,39,2021.0,6.0,34
s913,Movie,The Circle - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,2021-05-07,2021,TV-14,35 min,Comedies,32,2021.0,5.0,35
s4,TV Show,Jailbirds New Orleans,Unknown,Unknown,2021-09-24,2021,TV-MA,1 Season,"Docuseries, Reality TV",35,2021.0,9.0,1
s15,TV Show,Crime Stories: India Detectives,Unknown,Pakistan,2021-09-22,2021,TV-MA,1 Season,"British TV Shows, Crime TV Shows, Docuseries",1,2021.0,9.0,1
s3232,Movie,True: Winter Wishes,Unknown,Unknown,,2019,TV-Y,46 min,Children & Family Movies,36,,,46
s4832,TV Show,True: Magical Friends,"Mark Thornton, Todd Kauffman",United States,2018-06-15,2018,TV-Y,1 Season,Kids' TV,96,2018.0,6.0,1
s4833,TV Show,True: Wonderful Wishes,"Mark Thornton, Todd Kauffman",United States,2018-06-15,2018,TV-Y,1 Season,Kids' TV,8,2018.0,6.0,1
s4857,TV Show,Dance & Sing with True,"Mark Thornton, Todd Kauffman",United States,2018-05-18,2018,TV-Y,1 Season,Kids' TV,70,2018.0,5.0,1
s7,Movie,My Little Pony: A New Generation,Unknown,Unknown,,2021,PG,91 min,Children & Family Movies,25,,,91
s12,TV Show,Bangkok Breaking,Kongkiat Komesiri,Not Given,2021-09-23,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",29,2021.0,9.0,1
s17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,"Pedro de Echave García, Pablo Azorín Williams",Not Given,2021-09-22,2020,TV-MA,67 min,"Documentaries, International Movies",61,2021.0,9.0,67
s7930,Movie,Samudri Lootere,Anirban Majumder,Not Given,2019-06-18,2018,TV-Y,65 min,Children & Family Movies,98,2019.0,6.0,65
s21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,Olivier Megaton,United States,2021-09-22,2021,TV-14,1 Season,"Crime TV Shows, Docuseries, International TV Shows",45,2021.0,9.0,1
s24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,"Alex Woo, Stanley Moore",United States,2021-09-21,2021,TV-Y,61 min,Children & Family Movies,23,2021.0,9.0,61
s25,Movie,Jeans,S. Shankar,India,2021-09-21,1998,TV-14,166 min,"Comedies, International Movies, Romantic Movies",4,2021.0,9.0,166
s28,Movie,Grown Ups,Dennis Dugan,United States,2021-09-20,2010,PG-13,103 min,Comedies,29,2021.0,9.0,103
s29,Movie,Dark Skies,Scott Stewart,United States,2021-09-19,2013,PG-13,97 min,"Horror Movies, Sci-Fi & Fantasy",9,2021.0,9.0,97
s30,Movie,Paranoia,Robert Luketic,United States,2021-09-19,2013,PG-13,106 min,Thrillers,2,2021.0,9.0,106
s20,TV Show,Jaguar,Unknown,Unknown,2021-09-22,2021,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",69,2021.0,9.0,1
s32,TV Show,Chicago Party Aunt,Unknown,Pakistan,2021-09-17,2021,TV-MA,1 Season,TV Comedies,42,2021.0,9.0,1
s34,TV Show,Squid Game,Unknown,Pakistan,2021-09-17,2021,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Thrillers",60,2021.0,9.0,1
s35,TV Show,Tayo and Little Wizards,Unknown,Pakistan,2021-09-17,2020,TV-Y7,1 Season,Kids' TV,9,2021.0,9.0,1
s75,TV Show,The World's Most Amazing Vacation Rentals,Unknown,Unknown,,2021,TV-PG,2 Seasons,Reality TV,99,,,2
s84,TV Show,Metal Shop Masters,Unknown,Pakistan,2021-09-10,2021,TV-MA,1 Season,Reality TV,42,2021.0,9.0,1
s86,TV Show,Pokémon Master Journeys: The Series,Unknown,Pakistan,2021-09-10,2021,TV-Y7,1 Season,"Anime Series, Kids' TV",89,2021.0,9.0,1
s88,TV Show,Titipo Titipo,Unknown,Pakistan,2021-09-10,2019,TV-Y,2 Seasons,"Kids' TV, Korean TV Shows",38,2021.0,9.0,2
s90,TV Show,Mighty Raju,Unknown,Pakistan,2021-09-09,2017,TV-Y7,4 Seasons,Kids' TV,14,2021.0,9.0,4
s101,TV Show,Tobot Galaxy Detectives,Unknown,Pakistan,2021-09-07,2019,TV-Y7,2 Seasons,Kids' TV,54,2021.0,9.0,2
s122,TV Show,Hotel Del Luna,Unknown,Pakistan,2021-09-02,2019,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",1,2021.0,9.0,1
s133,TV Show,Brave Animated Series,Unknown,Pakistan,2021-09-01,2021,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Comedies",58,2021.0,9.0,1
s148,TV Show,How to Be a Cowboy,Unknown,Pakistan,2021-09-01,2021,TV-PG,1 Season,Reality TV,27,2021.0,9.0,1
s166,TV Show,Oldsters,Unknown,Pakistan,2021-09-01,2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",17,2021.0,9.0,1
s190,Movie,Bread Barbershop,Unknown,Pakistan,,2020,TV-Y,2 Seasons,"Kids' TV, TV Comedies",92,,,2
s182,TV Show,Turning Point: 9/11 and the War on Terror,Unknown,Pakistan,2021-09-01,2021,TV-14,1 Season,Docuseries,25,2021.0,9.0,1
s187,TV Show,Hometown Cha-Cha-Cha,Unknown,Pakistan,2021-08-29,2021,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",18,2021.0,8.0,1
s188,TV Show,The Ingenuity of the Househusband,Unknown,Unknown,2021-08-29,2021,TV-G,1 Season,"International TV Shows, TV Comedies",57,2021.0,8.0,1
s27,Movie,Minsara Kanavu,Rajiv Menon,India,2021-09-21,1997,TV-PG,147 min,"Comedies, International Movies, Music & Musicals",0,2021.0,9.0,147
s19,Movie,Intrusion,Adam Salky,Not Given,2021-09-22,2021,TV-14,94 min,Thrillers,37,2021.0,9.0,94
s23,Movie,Avvai Shanmughi,K.S. Ravikumar,Not Given,2021-09-21,1996,TV-PG,161 min,"Comedies, International Movies",29,2021.0,9.0,161
s31,Movie,Ankahi Kahaniya,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary",Not Given,2021-09-17,2021,TV-14,111 min,"Dramas, Independent Movies, International Movies",80,2021.0,9.0,111
s36,Movie,The Father Who Moves Mountains,Daniel Sandu,Not Given,2021-09-17,2021,TV-MA,110 min,"Dramas, International Movies, Thrillers",43,2021.0,9.0,110
s37,Movie,The Stronghold,Cédric Jimenez,Not Given,2021-09-17,2021,TV-MA,105 min,"Action & Adventure, Dramas, International Movies",77,2021.0,9.0,105
s39,Movie,Birth of the Dragon,George Nolfi,China,2021-09-16,2017,PG-13,96 min,"Action & Adventure, Dramas",92,2021.0,9.0,96
s48,TV Show,The Smart Money Woman,Bunmi Ajakaiye,South Africa,2021-09-16,2020,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",89,2021.0,9.0,1
s76,Movie,You vs. Wild: Out Cold,Ben Simms,United States,2021-09-14,2021,TV-G,106 min,Children & Family Movies,72,2021.0,9.0,106
s42,Movie,Jaws,Steven Spielberg,United States,2021-09-16,1975,PG,124 min,"Action & Adventure, Classic Movies, Dramas",58,2021.0,9.0,124
s43,Movie,Jaws 2,Jeannot Szwarc,United States,2021-09-16,1978,PG,116 min,"Dramas, Horror Movies, Thrillers",36,2021.0,9.0,116
s44,Movie,Jaws 3,Joe Alves,United States,2021-09-16,1983,PG,98 min,"Action & Adventure, Horror Movies, Thrillers",68,2021.0,9.0,98
s45,Movie,Jaws: The Revenge,Joseph Sargent,United States,2021-09-16,1987,PG-13,91 min,"Action & Adventure, Horror Movies, Thrillers",67,2021.0,9.0,91
s47,Movie,Safe House,Daniel Espinosa,South Africa,2021-09-16,2012,R,115 min,Action & Adventure,50,2021.0,9.0,115
s49,Movie,Training Day,Antoine Fuqua,United States,2021-09-16,2001,R,122 min,"Dramas, Thrillers",95,2021.0,9.0,122
s1093,Movie,Dolly Parton: A MusiCares Tribute,Unknown,Pakistan,2021-04-07,2021,TV-PG,55 min,"Documentaries, Music & Musicals",23,2021.0,4.0,55
s195,TV Show,Deadly Sins,Unknown,Pakistan,2021-08-27,2002,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas",78,2021.0,8.0,1
s52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Toshiya Shinohara,Japan,2021-09-15,2002,TV-14,99 min,"Action & Adventure, Anime Features, International Movies",39,2021.0,9.0,99
s53,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Toshiya Shinohara,Japan,2021-09-15,2003,TV-14,99 min,"Action & Adventure, Anime Features, International Movies",54,2021.0,9.0,99
s54,Movie,InuYasha the Movie 4: Fire on the Mystic Island,Toshiya Shinohara,Japan,2021-09-15,2004,TV-PG,88 min,"Action & Adventure, Anime Features, International Movies",0,2021.0,9.0,88
s55,Movie,InuYasha the Movie: Affections Touching Across Time,Toshiya Shinohara,Japan,2021-09-15,2001,TV-PG,100 min,"Action & Adventure, Anime Features, International Movies",71,2021.0,9.0,100
s198,TV Show,I Heart Arlo,Unknown,Pakistan,2021-08-27,2021,TV-Y7,1 Season,"Kids' TV, TV Comedies",82,2021.0,8.0,1
s56,TV Show,Nailed It,Unknown,United States,2021-09-15,2021,TV-PG,6 Seasons,Reality TV,55,2021.0,9.0,6
s498,TV Show,Cat People,Unknown,Pakistan,2021-07-07,2021,TV-14,1 Season,Docuseries,1,2021.0,7.0,1
